Flight No.,"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,1,2,3,4,5,6,7,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
1,,CCAFS,,,LEO,SpaceX,,,,,,,,,,Dragon Spacecraft Qualification Unit,"Success
",F9 v1.0[7]B0003.1[8],Failure[9][10](parachute),4,June
1,,CCAFS,,,LEO,NASA,,,,,,,,,,Dragon,Success,F9 v1.0[7]B0003.1[8],Failure[9][14](parachute),4,June
2,,CCAFS,,"525 kg (1,157 lb)[19]",LEO,NASA,,,,,,,,,,Dragon,Success,F9 v1.0[7]B0004.1[8],No attempt,8,December
3,,CCAFS,,"4,700 kg (10,400 lb)",LEO,NASA,,,,,,,,,,SpaceX CRS-1,"Success
",F9 v1.0[7]B0005.1[8],No attempt,22,May
4,,CCAFS,,"4,877 kg (10,752 lb)",LEO,NASA,,,,,,,,,,SpaceX CRS-2,"Success
",F9 v1.0[7]B0006.1[8],No attempt,8,October
5,,VAFB,,"500 kg (1,100 lb)",Polar orbit,MDA,,,,,,,,,,CASSIOPE,Success,F9 v1.0[7]B0007.1[8],Uncontrolled(ocean)[d],1,March
6,,CCAFS,,"3,170 kg (6,990 lb)",GTO,SES,,,,,,,,,,SES-8,Success,F9 v1.1[7]B1003[8],No attempt[38],29,September
7,,CCAFS,,"3,325 kg (7,330 lb)",GTO,Thaicom,,,,,,,,,,Thaicom 6,Success,F9 v1.1B1004,No attempt[43],3,December
8,,Cape Canaveral,,"2,296 kg (5,062 lb)[45]",LEO,NASA,,,,,,,,,,SpaceX CRS-3,"Success
",F9 v1.1,Controlled(ocean) [d][46],6,January
9,,Cape Canaveral,,"1,316 kg (2,901 lb)",LEO,Orbcomm,,,,,,,,,,Orbcomm-OG2,Success,F9 v1.1,Controlled(ocean)[d][46],18,April
10,,Cape Canaveral,,"4,535 kg (9,998 lb)",GTO,AsiaSat,,,,,,,,,,AsiaSat 8,Success,F9 v1.1,No attempt[57],14,July
11,,Cape Canaveral,,"4,428 kg (9,762 lb)",GTO,AsiaSat,,,,,,,,,,AsiaSat 6,Success,F9 v1.1,No attempt,5,August
12,,Cape Canaveral,,"2,216 kg (4,885 lb)[62]",LEO,NASA,,,,,,,,,,SpaceX CRS-4,Success,F9 v1.1B1011[8],Uncontrolled(ocean)[d][64],7,September
13,,Cape Canaveral,,"2,395 kg (5,280 lb)[69]",LEO,NASA,,,,,,,,,,SpaceX CRS-5,Success,F9 v1.1B1010[8],Failure (drone ship),21,September
14,,Cape Canaveral,,"570 kg (1,260 lb)",HEO,USAF,,,,,,,,,,DSCOVR,"Success
",F9 v1.1B1012[8],Controlled(ocean)[d],10,January
15,,Cape Canaveral,,"4,159 kg (9,169 lb)",GTO,ABS,,,,,,,,,,ABS-3A,"Success
",F9 v1.1B1013[8],No attempt[77],11,February
16,,Cape Canaveral,,"1,898 kg (4,184 lb)[82]",LEO,NASA,,,,,,,,,,SpaceX CRS-6,"Success
",F9 v1.1B1014[8],Failure[83](drone ship),2,March
17,,Cape Canaveral,,"4,707 kg (10,377 lb)",GTO,,,,,,,,,,,TürkmenÄlem 52°E / MonacoSAT,"Success
",F9 v1.1B1015[8],No attempt[89],14,April
18,,Cape Canaveral,,"1,952 kg (4,303 lb)[92]",LEO,NASA,,,,,,,,,,SpaceX CRS-7,Failure,F9 v1.1B1016[8],Precluded[94](drone ship),27,April
19,,Cape Canaveral,,"2,034 kg (4,484 lb)",LEO,Orbcomm,,,,,,,,,,Orbcomm-OG2,"Success
",F9 v1.1B1018[8],Success[99](ground pad),28,June
20,,VAFB,,"553 kg (1,219 lb)",LEO,NASA,,,,,,,,,,Jason-3,"Success
",F9 FTB1019.1[98],Failure(drone ship),22,December
21,,Cape Canaveral,,"5,271 kg (11,621 lb)",GTO,SES,,,,,,,,,,SES-9,"Success
",F9 v1.1B1017[8],Failure(drone ship),17,January
22,,Cape Canaveral,,"3,136 kg (6,914 lb)[116]",LEO,NASA,,,,,,,,,,SpaceX CRS-8,Success,F9 FTB1020.1[108],Success[118](drone ship),4,March
23,,Cape Canaveral,,"4,696 kg (10,353 lb)[124]",GTO,SKY Perfect JSAT Group,,,,,,,,,,JCSAT-14,"Success
",F9 FTB1021.1[115],Success(drone ship),8,April
